2:  60 up 60
3:  80 up 20
4:  100 up 20
5:  140 up 40
6:  160 up 20
7:  200 up 40
8:  220 up 20
9:  260 up 40
10:  300 up 40
11:  340 up 40
12:  400 up 60
13:  440 up 40
14:  500 up 60
15:  580 up 80
16:  660 up 80
17:  760 up 100
18:  860 up 100
19:  980 up 120
20:  1140 up 160
21:  1320 up 180
22:  1520 up 200
23:  1780 up 260
24:  2080 up 300
25:  2440 up 360
26:  2860 up 420
27:  3380 up 520
28:  3980 up 600
29:  4720 up 740
30:  5620 up 900
31:  6700 up 1080
32:  8000 up 1300
33:  9560 up 1560
34:  11460 up 1900
35:  13740 up 2280
36:  16500 up 2760
37:  19840 up 3340
38:  23880 up 4040
39:  28760 up 4880
40:  34640 up 5880
41:  41780 up 7140
42:  50400 up 8620
43:  60840 up 10440
44:  73440 up 12600
45:  88700 up 15260
46:  107180 up 18480
47:  129500 up 22320
48:  156520 up 27020
49:  189220 up 32700
50:  228760 up 39540
51:  276620 up 47860
52:  334520 up 57900
53:  404580 up 70060
54:  489340 up 84760
55:  591880 up 102540
56:  715980 up 124100
57:  866120 up 150140
58:  1047780 up 181660
59:  1267600 up 219820
60:  1533580 up 265980
61:  1855400 up 321820
62:  2244780 up 389380
63:  2715960 up 471180
64:  3286060 up 570100
65:  3975900 up 689840
66:  4810580 up 834680
67:  5820540 up 1009960
68:  7042600 up 1222060
69:  8521280 up 1478680
70:  10310480 up 1789200
71:  12475420 up 2164940
72:  15094980 up 2619560
73:  18264640 up 3169660
74:  22099940 up 3835300
75:  26740620 up 4640680
76:  32355860 up 5615240
77:  39150300 up 6794440
78:  47371560 up 8221260
79:  57319280 up 9947720
80:  69356020 up 12036740
81:  83920480 up 14564460
82:  101543460 up 17622980
83:  122867260 up 21323800
84:  148669060 up 25801800
85:  179889240 up 31220180
86:  217665640 up 37776400
87:  263375080 up 45709440
88:  318683520 up 55308440
89:  385606700 up 66923180
90:  466583760 up 80977060
91:  564566000 up 97982240
92:  683124500 up 118558500
93:  826580280 up 143455780
94:  1000161760 up 173581480
95:  1210195360 up 210033600
96:  1464336000 up 254140640
97:  1771846200 up 307510200
98:  2143933500 up 372087300
99:  2594159160 up 450225660
100:  3138932180 up 544773020
101:  3798107540 up 659175360
